Squadra,Immagine,Nazione,Serie,Difficolta
Anderlecht,Anderlecht.png,Belgio,Serie A,1
Brugge,Brugge.png,Belgio,Serie A,1
Charleroi,Charleroi.png,Belgio,Serie A,2
Genk,Genk.png,Belgio,Serie A,2
Gent,Gent.png,Belgio,Serie A,2
Heverlee_Leuven,Heverlee_Leuven.png,Belgio,Serie A,2
Kortrijk,Kortrijk.png,Belgio,Serie A,2
Mechelen,Mechelen.png,Belgio,Serie A,2
Mouscron_Peruwelz,Mouscron_Peruwelz.png,Belgio,Serie A,2
Oostende,Oostende.png,Belgio,Serie A,2
Standard_Liege,Standard_Liege.png,Belgio,Serie A,1
Truiden,Truiden.png,Belgio,Serie A,2
Waasland_Beveren,Waasland_Beveren.png,Belgio,Serie A,2
Westerlo,Westerlo.png,Belgio,Serie A,2
Zulte-Waregem,Zulte-Waregem.png,Belgio,Serie A,2
Sloboda_Tuzla,Sloboda_Tuzla.png,Bosnia,Serie A,3
Siroki_Brijeg,Siroki_Brijeg.png,Bosnia,Serie A,3
Angers,Angers.png,Francia,Serie A,1
Bastia,Bastia.png,Francia,Serie A,1
Caen,Caen.png,Francia,Serie A,1
En_Avant_de_Guingamp,En_Avant_de_Guingamp.png,Francia,Serie A,1
Estac_Troyes,Estac_Troyes.png,Francia,Serie A,1
GazÇlec_Ajaccio,GazÇlec_Ajaccio.png,Francia,Serie A,1
Girondins-Bordeaux,Girondins-Bordeaux.png,Francia,Serie A,1
Lille,Lille.png,Francia,Serie A,1
Lorient,Lorient.png,Francia,Serie A,1
Monaco,Monaco.png,Francia,Serie A,1
Montpellier,Montpellier.png,Francia,Serie A,1
Nantes,Nantes.png,Francia,Serie A,1
Nizza,Nizza.png,Francia,Serie A,1
Olympique_Lyonnais,Olympique_Lyonnais.png,Francia,Serie A,1
Olympique_Marseille,Olympique_Marseille.png,Francia,Serie A,1
Paris_Saint-Germain,Paris_Saint-Germain.png,Francia,Serie A,1
Reims,Reims.png,Francia,Serie A,1
Rennais,Rennais.png,Francia,Serie A,1
Saint_Etienne,Saint_Etienne.png,Francia,Serie A,1
Tolosa,Tolosa.png,Francia,Serie A,1
Ajaccio,Ajaccio.png,Francia,Serie B,2
Auxerre,Auxerre.png,Francia,Serie B,2
Bourg-PÇronnas,Bourg-PÇronnas.png,Francia,Serie B,2
Brestois,Brestois.png,Francia,Serie B,2
Chamois Niortais,Chamois Niortais.png,Francia,Serie B,2
Clermont,Clermont.png,Francia,Serie B,2
Creteil,Creteil.png,Francia,Serie B,2
Dijon,Dijon.png,Francia,Serie B,2
Evian,Evian.png,Francia,Serie B,2
Lavallois_Mayenne,Lavallois_Mayenne.png,Francia,Serie B,2
Le_Havre,Le_Havre.png,Francia,Serie B,2
Metz,Metz.png,Francia,Serie B,2
Nancy_Lorraine,Nancy_Lorraine.png,Francia,Serie B,2
Nåmes,Nåmes.png,Francia,Serie B,2
Paris FC,Paris FC.png,Francia,Serie B,2
RC-Lens,RC-Lens.png,Francia,Serie B,2
RedStar,RedStar.png,Francia,Serie B,2
Sochaux,Sochaux.png,Francia,Serie B,2
Tours,Tours.png,Francia,Serie B,2
Valenciennes,Valenciennes.png,Francia,Serie B,2
Augsburg,Augsburg.png,Germania,Serie A,1
Bayern_MÅnchen,Bayern_MÅnchen.png,Germania,Serie A,1
Bayer_Leverkusen,Bayer_Leverkusen.png,Germania,Serie A,1
Borussia_Dortmund,Borussia_Dortmund.png,Germania,Serie A,1
Borussia_Mînchengladbach,Borussia_Mînchengladbach.png,Germania,Serie A,1
Darmstadt,Darmstadt.png,Germania,Serie A,1
Eintracht_Frankfurt,Eintracht_Frankfurt.png,Germania,Serie A,1
Hamburger,Hamburger.png,Germania,Serie A,1
Hannover_96,Hannover_96.png,Germania,Serie A,1
Herta_Berlin,Herta_Berlin.png,Germania,Serie A,1
Hoffenheim,Hoffenheim.png,Germania,Serie A,1
Ingolstadt_04,Ingolstadt_04.png,Germania,Serie A,1
Koln,Koln.png,Germania,Serie A,1
Mainz,Mainz.png,Germania,Serie A,1
Schalke_04,Schalke_04.png,Germania,Serie A,1
Stuttgart,Stuttgart.png,Germania,Serie A,1
Werder_Bremen,Werder_Bremen.png,Germania,Serie A,1
Wolfsburg,Wolfsburg.png,Germania,Serie A,1
Arminia_Bielefeld,Arminia_Bielefeld.png,Germania,Serie B,2
Bochum,Bochum.png,Germania,Serie B,2
Duisburg,Duisburg.png,Germania,Serie B,2
Eintracht_Braunschweig,Eintracht_Braunschweig.png,Germania,Serie B,2
Fortuna_Dusseldorf,Fortuna_Dusseldorf.png,Germania,Serie B,2
Frankfurt,Frankfurt.png,Germania,Serie B,2
Freiburg,Freiburg.png,Germania,Serie B,2
Greuther,Greuther.png,Germania,Serie B,2
Heidenheim_1846.svg,Heidenheim_1846.svg.png,Germania,Serie B,2
Kaiserslautern.svg,Kaiserslautern.svg.png,Germania,Serie B,2
Karlsruher,Karlsruher.png,Germania,Serie B,2
Leipzig,Leipzig.png,Germania,Serie B,2
MÅnchen_1860.svg,MÅnchen_1860.svg.png,Germania,Serie B,2
NÅrnberg.svg,NÅrnberg.svg.png,Germania,Serie B,2
Paderborn07,Paderborn07.png,Germania,Serie B,2
Sandhausen,Sandhausen.png,Germania,Serie B,2
St_Pauli,St_Pauli.png,Germania,Serie B,2
Union_Berlin,Union_Berlin.png,Germania,Serie B,2
Notts_County,Notts_County.png,Inghilterra,Altre,3
Stoke_City,Stoke_City.png,Inghilterra,Altre,1
Arsenal,Arsenal.png,Inghilterra,Serie A,1
Aston_Villa,Aston_Villa.png,Inghilterra,Serie A,1
Bournemouth,Bournemouth.png,Inghilterra,Serie A,1
Chelsea,Chelsea.png,Inghilterra,Serie A,1
Crystal_Palace,Crystal_Palace.png,Inghilterra,Serie A,1
Everton,Everton.png,Inghilterra,Serie A,1
Leicester_City,Leicester_City.png,Inghilterra,Serie A,1
Liverpool,Liverpool.png,Inghilterra,Serie A,1
Manchester_City,Manchester_City.png,Inghilterra,Serie A,1
Manchester_United,Manchester_United.png,Inghilterra,Serie A,1
Newcastle_United,Newcastle_United.png,Inghilterra,Serie A,1
Norwich_City,Norwich_City.png,Inghilterra,Serie A,1
Sunderland,Sunderland.png,Inghilterra,Serie A,1
Swansea,Swansea.png,Inghilterra,Serie A,1
Tottenham_Hotspur,Tottenham_Hotspur.png,Inghilterra,Serie A,1
Watford,Watford.png,Inghilterra,Serie A,1
West_Bromwich_Albion,West_Bromwich_Albion.png,Inghilterra,Serie A,1
West_Ham,West_Ham.png,Inghilterra,Serie A,1
Wigan_Athletic,Wigan_Athletic.png,Inghilterra,Serie A,1
Wolverhampton,Wolverhampton.png,Inghilterra,Serie A,1
Birmingham_City,Birmingham_City.png,Inghilterra,Serie B,2
Blackburn_Rovers,Blackburn_Rovers.png,Inghilterra,Serie B,2
Bolton,Bolton.png,Inghilterra,Serie B,2
Brentford,Brentford.png,Inghilterra,Serie B,2
Brighton_&_Hove_Albion,Brighton_&_Hove_Albion.png,Inghilterra,Serie B,2
Bristol_City,Bristol_City.png,Inghilterra,Serie B,2
Burnley,Burnley.png,Inghilterra,Serie B,2
Cardiff_City_,Cardiff_City_.png,Inghilterra,Serie B,2
Charlton_Athletic,Charlton_Athletic.png,Inghilterra,Serie B,2
Derby_County,Derby_County.png,Inghilterra,Serie B,2
Fulham,Fulham.png,Inghilterra,Serie B,2
Huddersfield_Town,Huddersfield_Town.png,Inghilterra,Serie B,2
Hull_City,Hull_City.png,Inghilterra,Serie B,2
Ipswich_Town,Ipswich_Town.png,Inghilterra,Serie B,2
Leeds_United,Leeds_United.png,Inghilterra,Serie B,2
Middlesbrough,Middlesbrough.png,Inghilterra,Serie B,2
MK_Dons,MK_Dons.png,Inghilterra,Serie B,2
Nottingham_Forest,Nottingham_Forest.png,Inghilterra,Serie B,2
Preston,Preston.png,Inghilterra,Serie B,2
Queens_Park_Rangers,Queens_Park_Rangers.png,Inghilterra,Serie B,2
Reading,Reading.png,Inghilterra,Serie B,2
Rotherham_United,Rotherham_United.png,Inghilterra,Serie B,2
Sheffield_United,Sheffield_United.png,Inghilterra,Serie B,2
Sheffield_Wednesday,Sheffield_Wednesday.png,Inghilterra,Serie B,2
Breidablik,Breidablik.png,Islanda,Serie A,3
Fjolnir Reykjavik,Fjolnir Reykjavik.png,Islanda,Serie A,3
Fylkir Reykjavik,Fylkir Reykjavik.png,Islanda,Serie A,3
Hafnarfjordur,Hafnarfjordur.png,Islanda,Serie A,3
Catania,Catania.png,Italia,Altre,2
Spal,Spal.png,Italia,Altre,3
Empoli,Empoli.png,Italia,Serie A,1
Fiorentina,Fiorentina.png,Italia,Serie A,1
Frosinone,Frosinone.png,Italia,Serie A,1
Inter,Inter.png,Italia,Serie A,1
Juventus,Juventus.png,Italia,Serie A,1
Milan,Milan.png,Italia,Serie A,1
Sampdoria,Sampdoria.png,Italia,Serie A,1
Sassuolo,Sassuolo.png,Italia,Serie A,1
Udinese,Udinese.png,Italia,Serie A,1
Cesena,Cesena.png,Italia,Serie B,2
Ajax_Amsterdam,Ajax_Amsterdam.png,Olanda,Serie A,1
AZ_Alkmaar.svg,AZ_Alkmaar.svg.png,Olanda,Serie A,1
Cambuur,Cambuur.png,Olanda,Serie A,2
Den_Haag,Den_Haag.png,Olanda,Serie A,2
De_Graafschap,De_Graafschap.png,Olanda,Serie A,2
Feyenoord,Feyenoord.png,Olanda,Serie A,1
Groningen,Groningen.png,Olanda,Serie A,1
Heerenveen,Heerenveen.png,Olanda,Serie A,2
Heracles,Heracles.png,Olanda,Serie A,1
NEC_Nijmegen,NEC_Nijmegen.png,Olanda,Serie A,1
Pec_Zwolle,Pec_Zwolle.png,Olanda,Serie A,1
PSV_Eindhoven,PSV_Eindhoven.png,Olanda,Serie A,2
Roda,Roda.png,Olanda,Serie A,1
SBV_Excelsior,SBV_Excelsior.png,Olanda,Serie A,2
Sparta_Rotterdam,Sparta_Rotterdam.png,Olanda,Serie A,1
Twente,Twente.png,Olanda,Serie A,1
Utrecht,Utrecht.png,Olanda,Serie A,1
Vitesse,Vitesse.png,Olanda,Serie A,1
Willem-II,Willem-II.png,Olanda,Serie A,2
Cracovia_Krakau,Cracovia_Krakau.png,Polonia,Serie A,2
Gornik_Leczna,Gornik_Leczna.png,Polonia,Serie A,2
Gornik_Zabrze,Gornik_Zabrze.png,Polonia,Serie A,2
Jagiellonia_Bialystok,Jagiellonia_Bialystok.png,Polonia,Serie A,2
Korona_Kielce,Korona_Kielce.png,Polonia,Serie A,2
Lechia_Gdansk,Lechia_Gdansk.png,Polonia,Serie A,2
Lech_Poznan,Lech_Poznan.png,Polonia,Serie A,2
Legia_Warszawa,Legia_Warszawa.png,Polonia,Serie A,2
Piast_Gliwice,Piast_Gliwice.png,Polonia,Serie A,2
Pogon,Pogon.png,Polonia,Serie A,2
Ruch_Chorz¢w,Ruch_Chorz¢w.png,Polonia,Serie A,2
